symbol,Date,close,high,low,open,volume
DATA,2013-07-08,60.99,63,60.5,63,107700
DATA,2013-07-09,57.14,61.64,57,60.73,345500
DATA,2013-07-10,56.6,58.52,56.511,57.25,179500
DATA,2013-07-11,55.76,57.6455,55.34,57,202300
DATA,2013-07-12,53.5,55.9999,53.47,55.75,284300
DATA,2013-07-15,53.82,54.8161,53.2,53.87,239000
DATA,2013-07-16,55.18,56.8,53.88,54.07,176300
DATA,2013-07-17,56.67,56.874,55.115,55.15,151900
DATA,2013-07-18,55.22,57.25,55.05,57,80700
DATA,2013-07-19,53.81,55.68,53.77,55.68,115200
DATA,2013-07-22,53.01,54.31,52.61,54.11,153200
DATA,2013-07-23,52.07,53.84,51.9901,53.5,122100
DATA,2013-07-24,53.59,53.77,52.358,52.39,204100
DATA,2013-07-25,54.5,55.42,53.71,54.48,174000
DATA,2013-07-26,53.75,54.93,53.4201,54.93,43000
DATA,2013-07-29,53.48,54.62,53.4,54.62,10000
DATA,2013-07-30,53.81,54.2387,53.5,53.56,116300
DATA,2013-07-31,55.4,55.75,54,54,211100
DATA,2013-08-01,57.62,57.93,55.94,56.66,168100
DATA,2013-08-02,59.85,59.97,57.088,57.92,178000
DATA,2013-08-05,60.12,60.46,58.19,59.85,119800
DATA,2013-08-06,59.54,61.65,59.18,60.29,122500
DATA,2013-08-07,59.6,60.7,58.4501,59.56,108800
DATA,2013-08-08,60.94,61.65,59.5,60.88,339300
DATA,2013-08-09,67.82,74.25,66.63,72.26,1193100
DATA,2013-08-12,72.7,73.65,67.8599,68.23,505500
DATA,2013-08-13,71.1,74.97,68.57,73.26,450600
DATA,2013-08-14,66.99,71.89,65.91,70.88,381400
DATA,2013-08-15,65.17,66.78,64.28,65.77,273100
DATA,2013-08-16,66.57,68.59,65.0101,65.59,330200
DATA,2013-08-19,64.98,67.68,64.52,66.73,154300
DATA,2013-08-20,63.83,65.75,63.27,65,213100
DATA,2013-08-21,63.35,64.74,63,64,99900
DATA,2013-08-22,64,64.319,63.61,63.75,123200
DATA,2013-08-23,67.67,68.499,63.1401,64.2,305400
DATA,2013-08-26,68.37,69.89,66.45,67.88,297400
DATA,2013-08-27,66.28,67.5,65.8,67.41,219000
DATA,2013-08-28,68.07,68.49,66.04,66.15,242000
DATA,2013-08-29,70.04,70.78,67.69,68.25,246400
DATA,2013-08-30,72.31,74.328,69.249,70,623200
DATA,2013-09-03,71.42,73.8701,70.53,72.99,214000
DATA,2013-09-04,74.2,75.22,71.02,71.85,292900
DATA,2013-09-05,72.97,77.74,72.67,74.6,517100
DATA,2013-09-06,70.69,73.93,70.53,73.84,397300
DATA,2013-09-09,72.47,73.68,70.91,71.38,196800
DATA,2013-09-10,74.75,75.06,71.75,73.26,353500
DATA,2013-09-11,71.99,75.335,71.91,74.78,287600
DATA,2013-09-12,73.11,73.55,70.5,72.59,259100
DATA,2013-09-13,72.7,75,72.43,73.67,324800
DATA,2013-09-16,71.96,74.7,71.7,73.67,223900
DATA,2013-09-17,72.1,72.52,70.65,72.24,202800
DATA,2013-09-18,72.82,73.29,71.44,73,164600
DATA,2013-09-19,74.06,74.5,73.23,73.28,234400
DATA,2013-09-20,73.04,75.9,73.04,74.5,587500
DATA,2013-09-23,72.81,73.04,68.3,73.04,549600
DATA,2013-09-24,71.89,73.63,70.71,72.36,117200
DATA,2013-09-25,71.86,72.6786,70.64,71.8,101600
DATA,2013-09-26,72.52,72.92,71.15,72.42,107000
DATA,2013-09-27,69.23,72.38,68.75,72.38,297500
DATA,2013-09-30,71.24,71.9,67.0904,67.59,246800
DATA,2013-10-01,71.44,72.5,70.2,71,116700
DATA,2013-10-02,73.08,73.2999,70.565,71,150700
DATA,2013-10-03,71.1,73.45,70.89,73,146200
DATA,2013-10-04,70.41,71.35,70,71.35,153900
DATA,2013-10-07,70.28,72,69.18,69.7,145000
DATA,2013-10-08,67.56,71.27,67.0601,70.43,356800
DATA,2013-10-09,66.34,68.16,66.0047,67.91,217000
DATA,2013-10-10,66.32,68.9953,66.15,67.53,339300
DATA,2013-10-11,66.5,67.67,64.76,66.73,289000
DATA,2013-10-14,66.69,66.86,64.74,66,215100
DATA,2013-10-15,64.74,66.86,64.11,66.86,273200
DATA,2013-10-16,67.83,68,64.29,64.87,336300
DATA,2013-10-17,68.42,68.51,65.5,67.45,209000
DATA,2013-10-18,67.81,69.165,67.65,69.04,158600
DATA,2013-10-21,65.98,68.22,65.51,68.22,162600
DATA,2013-10-22,63.41,66.3,62.6324,66.14,433200
DATA,2013-10-23,60.93,62.95,59.5,62.95,570900
DATA,2013-10-24,64.21,65.37,60.75,61,397300
DATA,2013-10-25,63.66,63.99,62.4,63.99,337600
DATA,2013-10-28,63.21,64,60.51,64,663800
DATA,2013-10-29,65.45,70,63.1,69.45,1155400
DATA,2013-10-30,64.16,66.59,63.25,65.31,468000
DATA,2013-10-31,61.46,64,60.95,62.45,2709400
DATA,2013-11-01,59.52,61.75,59.015,61.25,1295000
DATA,2013-11-04,60,60.42,58.96,59.25,1128400
DATA,2013-11-05,64,64.44,60.85,61,2189300
DATA,2013-11-06,65.13,65.49,63.5,63.92,1953200
DATA,2013-11-07,64,66.39,63.19,65.73,5220900
DATA,2013-11-08,64.45,65.1,63.52,64.7,1336800
DATA,2013-11-11,64.2,64.7,63.3,64.28,793300
DATA,2013-11-12,63.8,64.3,62.77,64.21,697700
DATA,2013-11-13,65.23,65.94,63.65,64.06,1161500
DATA,2013-11-14,65.57,65.99,63.59,65.15,1519600
DATA,2013-11-15,65.29,66.5,65.21,65.39,1144400
DATA,2013-11-18,61.73,65.68,61.4,65.11,1392900
DATA,2013-11-19,60.71,62.36,60.05,61.99,989500
DATA,2013-11-20,60.78,61.9,60.52,60.88,349400
DATA,2013-11-21,62.02,62.14,61.01,61.24,362900
DATA,2013-11-22,63.63,63.81,62,62.59,619800
DATA,2013-11-25,62.52,64.211,61.9347,63.5,363100
DATA,2013-11-26,64.48,64.52,61.7,62.18,866800
